t, 托嬰中心/所數(所)/總計
 104年1月,109
 104年2月,111
 104年3月,112
 104年4月,113
 104年5月,114
 104年6月,116
 104年7月,116
 104年8月,116
 104年9月,116
 104年10月,117
 104年11月,117
 104年12月,117
 105年1月,118
 105年2月,118
 105年3月,118
 105年4月,118
 105年5月,121
 105年6月,121
 105年7月,122
 105年8月,123
 105年9月,126
 105年10月,128
 105年11月,130
 105年12月,132
 106年1月,137
 106年2月,139
 106年3月,140
 106年4月,142
 106年5月,144
 106年6月,147
 106年7月,154
 106年8月,155
 106年9月,156
 106年10月,156
 106年11月,164
 106年12月,165
 107年1月,177
 107年2月,186
 107年3月,189
 107年4月,192
 107年5月,196
 107年6月,198
 107年7月,200
 107年8月,202
 107年9月,204
 107年10月,208
 107年11月,218
 107年12月,219
 108年1月,221
 108年2月,222
 108年3月,225
 108年4月,224
 108年5月,225
 108年6月,228
 108年7月,232
 108年8月,232
 108年9月,232
 108年10月,234
 108年11月,235
 108年12月,239
 109年1月,240
 109年2月,244
 109年3月,244
 109年4月,247
 109年5月,247
 109年6月,247
 109年7月,247
 109年8月,247
 109年9月,248
 109年10月,250
 109年11月,251
 109年12月,252
 110年1月,254
 110年2月,254
 110年3月,254
 110年4月,257
 110年5月,259
 110年6月,259
 110年7月,259
 110年8月,259
 110年9月,258
 110年10月,260
 110年11月,262
 110年12月,265
 111年1月,267
 111年2月,267
 111年3月,268
 111年4月,271
 111年5月,272
 111年6月,272
 111年7月,274
 111年8月,271
 111年9月,269
 111年10月,270
 111年11月,273
 111年12月,275
 112年1月,277
 112年2月,275
 112年3月,279
 ,
 ,
