行政區,機構名稱,地址,電話,開放時間,位置指引,基本設備,友善設備或服務,優良哺集乳室認證效期,輪椅使用,貼心小提醒
松山區,臺北市松山區健康服務中心,臺北市松山區八德路4段692號2樓,02-27671757轉6062,週一至週五08:30~17:30,松山區行政大樓2樓服務台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,內政部營建署,臺北市松山區八德路2段342號1樓,02-87712437,週一至週五08:00~17:00,101室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;母乳哺育宣導資訊;設置意見回饋箱    ,112年8月,無,使用者請於開放時間向本署秘書室事務課洽借鑰匙，並填寫哺(集)乳室鑰匙借用登記表、使用登記統計表；哺集乳室資訊依各場所實際公告內容為主
松山區,交通部運輸研究所,臺北市松山區敦化北路240號,02-23496734轉6733,每日24小時開放,地下1樓國際會議廳後方,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,哺集乳室資訊依各場所實際公告內容為主
松山區,交通部公路總局臺北市區監理所,臺北市松山區八德路4段21號,02-27630155,週一至週五08:30~18:00,2樓電梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北自來水事業處東區營業分處,臺北市松山區光復北路266號,02-87703362,週一至週五08:30~17:30,1樓3號服務櫃台正對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號5樓,02-27642151轉671212,每日24小時開放,52病房,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,17:00後請通知52護理站開門；哺集乳室資訊依各場所實際公告內容為主
松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-27135211轉3811,週一至週五08:00~17:00或門診開放時段,前棟大樓2樓健兒門診,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱    ,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路2段424號,02-27718151轉2211,每日24小時開放,醫療大樓2樓門診兒科區,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記（非小兒科門診時間及國定假日如需使用洽1樓服務台警衛）；哺集乳室資訊依各場所實際公告內容為主
松山區,博仁綜合醫院,臺北市松山區光復北路66號,02-25786677,週一至週六08:00~22:00,2樓嬰兒室對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北大眾捷運股份有限公司（臺北小巨蛋）,臺北市松山區南京東路4段2號,02-21812345,週一至週日09:30~21:30；如為活動日，則配合活動時間彈性開放,地下1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,如需使用哺集乳室，請洽服務台，由服務台人員引導進入；哺集乳室資訊依各場所實際公告內容為主
